[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 571.08 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-12DA4332-regular (vcpu:4) is NODE2 (cpu:28.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE2 defined for i-12DA4332 t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-12DA4332 in h:NODE2 t:regular az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE2: 8
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 3 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 586.52 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-131D4475-regular (vcpu:4) is NODE2 (cpu:24.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE2 defined for i-131D4475 t:regular, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-131D4475 in h:NODE2 t:regular az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE2: 12
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 3 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 598.79 WH
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-05094322-critical (vcpu:4) is NODE2 (cpu:20.0). ovbCount:0, tax:0 hasOvb? False.
[INFO    | Chave_serial| require_replica ] --> i-05094322-critical require replication! AZ6=?AZ6
[INFO    | Chave_serial| replicate_vm ] --> Pool lc1_AZ6_i-05094322 created for replication
[DEBUG   | Virtual | set_host_id ] --> Host id NODE2 defined for i-05094322 t:critical, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-05094322 in h:NODE2 t:critical az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE2: 16
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ6	 New max host on: 3 at ts: 0 s gt: 0
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 0 from START sec is 610.66 WH
[INFO    | DistInfra| get_hosts_density ] --> AZ AZ4 has 41.6666666667% hosts actives
[INFO    | DistInfra| get_hosts_density ] --> AZ AZ5 has 0.0% hosts actives
[INFO    | Chave_serial| choose_az_for_vm_replica ] --> VM i-1FAB4158 (from AZ6) will be replicated for AZ4
[INFO    | Chave_serial| best_host ] --> 	AZ4	 Best host for i-1FAB4158-replica (vcpu:4) is NODE4 (cpu:4.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE4 defined for i-1FAB4158 t:replica, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-1FAB4158 in h:NODE4 t:replica az:AZ4
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE4: 8
[INFO    | Chave_serial| region_replication ] --> 	lc1	 Allocated REPLICA i-1FAB4158 on AZ4
[INFO    | DistInfra| get_hosts_density ] --> AZ AZ5 has 0.0% hosts actives
[INFO    | DistInfra| get_hosts_density ] --> AZ AZ6 has 9.67741935484% hosts actives
[INFO    | Chave_serial| choose_az_for_vm_replica ] --> VM i-153C3F8D (from AZ4) will be replicated for AZ6
[INFO    | Chave_serial| best_host ] --> 	AZ6	 Best host for i-153C3F8D-replica (vcpu:4) is NODE2 (cpu:16.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE2 defined for i-153C3F8D t:replica, az:AZ4
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-153C3F8D in h:NODE2 t:replica az:AZ6
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE2: 20
[INFO    | Chave_serial| region_replication ] --> 	lc1	 Allocated REPLICA i-153C3F8D on AZ6
[INFO    | DistInfra| get_hosts_density ] --> AZ AZ4 has 41.6666666667% hosts actives
[INFO    | DistInfra| get_hosts_density ] --> AZ AZ5 has 0.0% hosts actives
[INFO    | Chave_serial| choose_az_for_vm_replica ] --> VM i-05094322 (from AZ6) will be replicated for AZ4
[INFO    | Chave_serial| best_host ] --> 	AZ4	 Best host for i-05094322-replica (vcpu:4) is NODE5 (cpu:8.0). ovbCount:0, tax:0 hasOvb? False.
[DEBUG   | Virtual | set_host_id ] --> Host id NODE5 defined for i-05094322 t:replica, az:AZ6
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-05094322 in h:NODE5 t:replica az:AZ4
[INFO    | Physical| force_set_host_on ] --> NEW state: NODE5 turned on? True
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE5: 4
[INFO    | Chave_serial| region_replication ] --> 	lc1	 Allocated REPLICA i-05094322 on AZ4
[INFO    | Chave_serial| best_host ] --> 	AZ3	 Best host for i-FC33416A-critical (vcpu:1) is NODE0 (cpu:8.0). ovbCount:0, tax:0 hasOvb? False.
[INFO    | Chave_serial| require_replica ] --> i-FC33416A-critical require replication! AZ3=?AZ3
[INFO    | Chave_serial| replicate_vm ] --> Pool lc0_AZ3_i-FC33416A created for replication
[DEBUG   | Virtual | set_host_id ] --> Host id NODE0 defined for i-FC33416A t:critical, az:AZ3
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-FC33416A in h:NODE0 t:critical az:AZ3
[INFO    | Physical| force_set_host_on ] --> NEW state: NODE0 turned on? True
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE0: 1
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ3	 New max host on: 1 at ts: 1 s gt: 1
[DEBUG   | Chave_serial| measure_energy ] --> Energy at 1 from START sec is 139.91 WH
[INFO    | Chave_serial| best_host ] --> 	AZ3	 Best host for i-DE9842F4-critical (vcpu:1) is NODE0 (cpu:7.0). ovbCount:0, tax:0 hasOvb? False.
[INFO    | Chave_serial| require_replica ] --> i-DE9842F4-critical require replication! AZ3=?AZ3
[INFO    | Chave_serial| replicate_vm ] --> Pool lc0_AZ3_i-DE9842F4 created for replication
[DEBUG   | Virtual | set_host_id ] --> Host id NODE0 defined for i-DE9842F4 t:critical, az:AZ3
[INFO    | Chave_serial| place    ] --> Allocating vmid:i-DE9842F4 in h:NODE0 t:critical az:AZ3
[DEBUG   | Physical| get_cpu_energy_usage ] --> USAGE in NODE0: 2
[INFO    | Chave_serial| az_optimized_placement ] --> 	AZ3	 New max host on: 1 at ts: 1 s gt: 1
